cleanstop_name,Total Avg. Ons,Total Avg. Offs,Overall Mean Avg. Ons,Overall Mean Avg. Offs,stop_lat,stop_lon
BroadStErieAv,2.8692810457516322,2.5294117647058822,1.4346405228758161,1.2647058823529411,40.009368,-75.151261
BroadStErieAvFS,0.6,1.733333333333333,0.3,0.8666666666666665,40.009395,-75.151107
ErieAvBroadSt,4.36111111111111,2.05555555555556,2.180555555555555,1.02777777777778,40.009208,-75.151439
ErieAvBroadStHFS,3.9821428571428603,2.0714285714285703,1.9910714285714302,1.0357142857142851,40.009406,-75.152053
ErieAvBroadStXHFS,4.046153846153846,2.292307692307692,2.023076923076923,1.146153846153846,40.00936,-75.151722
ErieAvElderStFS,6.88095238095238,4.0,3.44047619047619,2.0,40.009053,-75.149844
ErieAvGermantownAv,0.7,2.5,0.35,1.25,40.009233,-75.150671
ErieStationBSL,1.859243697478992,4.960084033613447,0.464810924369748,1.2400210084033618,40.009234,-75.15120250000001
GermantownAvBroadSt,3.05769230769231,2.9038461538461497,1.528846153846155,1.4519230769230749,40.010136,-75.151187
GermantownAvErieAv,2.057104660045837,3.995416348357519,0.5142761650114592,0.9988540870893797,40.009211,-75.150807
